id,params,result,time_s
62,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=1,smt.arith.nl.tangents=0,smt.arith.nl.delay=5,smt.arith.nl.horner_frequency=3",unsat,8.08236
63,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=1,smt.arith.nl.tangents=0,smt.arith.nl.delay=5,smt.arith.nl.horner_frequency=4",unsat,8.36355
64,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=1,smt.arith.nl.tangents=0,smt.arith.nl.delay=5,smt.arith.nl.horner_frequency=5",unsat,8.06001
65,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=1,smt.arith.nl.tangents=0,smt.arith.nl.delay=5,smt.arith.nl.horner_frequency=6",unsat,8.45673
66,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=1,smt.arith.nl.tangents=0,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=2",unsat,8.08558
67,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=1,smt.arith.nl.tangents=0,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=3",unsat,8.46319
68,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=1,smt.arith.nl.tangents=0,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=4",unsat,8.07614
69,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=1,smt.arith.nl.tangents=0,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=5",unsat,7.88096
70,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=1,smt.arith.nl.tangents=0,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=6",unsat,7.88519
71,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=1,smt.arith.nl.tangents=0,smt.arith.nl.delay=7,smt.arith.nl.horner_frequency=2",unsat,7.79897
72,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=1,smt.arith.nl.tangents=0,smt.arith.nl.delay=7,smt.arith.nl.horner_frequency=3",unsat,7.88383
73,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=1,smt.arith.nl.tangents=0,smt.arith.nl.delay=7,smt.arith.nl.horner_frequency=4",unsat,8.40545
74,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=1,smt.arith.nl.tangents=0,smt.arith.nl.delay=7,smt.arith.nl.horner_frequency=5",unsat,8.07253
